; From Logstash Netflow Codec Plugin
; https://github.com/logstash-plugins/logstash-codec-netflow/blob/master/lib/logstash/codecs/netflow/ipfix.yaml
;
; Alcatel
637,91,natInsideSvcid,unsigned16
637,92,natOutsideSvcid,unsigned16
637,93,natSubString,string
; Ixia
3054,110,ixiaL7AppId,unsigned32
3054,111,ixiaL7AppName,string
3054,120,ixiaSrcCountryCode,string
3054,121,ixiaSrcCountryName,string
3054,122,ixiaSrcRegionCode,string
3054,123,ixiaSrcRegionName,string
3054,125,ixiaSrcCityName,string
3054,126,ixiaSrcLatitude,float32
3054,127,ixiaSrcLongitude,float32
3054,140,ixiaDstCountryCode,string
3054,141,ixiaDstCountryName,string
3054,142,ixiaDstRegionCode,string
3054,143,ixiaDstRegionNode,string
3054,145,ixiaDstCityName,string
3054,146,ixiaDstLatitude,float32
3054,147,ixiaDstLongitude,float32
3054,160,ixiaDeviceId,unsigned8
3054,161,ixiaDeviceName,string
3054,162,ixiaBrowserId,unsigned8
3054,163,ixiaBrowserName,string
3054,176,ixiaRevOctetDeltaCount,unsigned64
3054,177,ixiaRevPacketDeltaCount,unsigned64
3054,178,ixiaEncryptType,string
3054,179,ixiaEncryptCipher,string
3054,180,ixiaEncryptKeyLength,unsigned16
3054,181,ixiaImsiSubscriber,string
3054,182,ixiaHttpUserAgent,string
3054,183,ixiaHttpHostName,string
3054,184,ixiaHttpUri,string
3054,185,ixiaDnsRecordTxt,string
3054,186,ixiaSrcAsName,string
3054,187,ixiaDstAsName,string
3054,188,ixiaLatency,unsigned32
3054,189,ixiaDnsQuery,string
3054,190,ixiaDnsAnswer,string
3054,191,ixiaDnsClasses,string
3054,192,ixiaThreatType,string
3054,193,ixiaThreatIPv4,ipv4Address
3054,194,ixiaThreatIPv6,ipv4Address
; VMWare
6876,880,vmwareTenantProtocol,unsigned8
6876,881,vmwareTenantSourceIPv4,ipv4Address
6876,882,vmwareTenantDestIPv4,ipv4Address
6876,883,vmwareTenantSourceIPv6,ipv6Address
6876,884,vmwareTenantDestIPv6,ipv6Address
6876,886,vmwareTenantSourcePort,unsigned16
6876,887,vmwareTenantDestPort,unsigned16
6876,888,vmwareEgressInterfaceAttr,unsigned16
6876,889,vmwareVxlanExportRole,unsigned8
6876,890,vmwareIngressInterfaceAttr,unsigned16
; Astaro
9789,1,afcProtocol,unsigned16
9789,2,afcProtocolName,string
9789,4,flowDirection,unsigned8
; Barracuda
10704,1,Timestamp,unsigned32
10704,2,LogOp,unsigned8
10704,3,TrafficType,unsigned8
10704,4,FW_Rule,string
10704,5,ServiceName,string
10704,6,Reason,unsigned32
10704,7,ReasonText,string
10704,8,BindIPv4Address,ipv4Address
10704,9,BindTransportPort,unsigned16
10704,10,ConnIPv4Address,ipv4Address
10704,11,ConnTransportPort,unsigned16
10704,12,AuditCounter,unsigned32
; Barracuda (2)
12326,1,Timestamp,unsigned32
12326,2,LogOp,unsigned8
12326,3,TrafficType,unsigned8
12326,4,FW_Rule,string
12326,5,ServiceName,string
12326,6,Reason,unsigned32
12326,7,ReasonText,string
12326,8,BindIPv4Address,ipv4Address
12326,9,BindTransportPort,unsigned16
12326,10,ConnIPv4Address,ipv4Address
12326,11,ConnTransportPort,unsigned16
12326,12,AuditCounter,unsigned32
; Procera
15397,1,proceraService,string
15397,2,proceraBaseService,string
15397,3,proceraIncomingOctets,unsigned64
15397,4,proceraOutgoingOctets,unsigned64
15397,5,proceraIncomingPackets,unsigned64
15397,6,proceraOutgoingPackets,unsigned64
